DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub,medsiglik,medtaulik,maxlik,taumaxlik,sigmaxlik
2475517,97.0183104569,33.1799988983,429.685277382,0.0212336121034,0.0152225037745,0.0297034462988,63.0283687652,64.739015396,67.2960386845,56.0305693169,0.0210255061431
2476138,1365.41525164,616.455645841,2502.22863585,0.0113786492717,0.00940026497585,0.0139873948548,152.729970833,151.541005373,154.304891301,805.677216154,0.0103205863809
2477041,1728.82697509,844.396474861,2764.39176426,0.0215407718099,0.0184114457332,0.0252970417972,117.925686016,116.564789167,118.476874608,1028.54257555,0.0193329896636
2477056,2.99393006711,2.22181857722,4.89870152959,0.151980118596,0.120801515179,0.186256692307,29.7614728283,28.4076029903,30.7226327157,2.12826152369,0.168227285611
2477225,1182.31895481,461.092206943,2447.10461194,0.00552730140558,0.00467854645079,0.00664471906474,212.542594245,211.354035968,214.310936277,380.596882926,0.00565356604104
2477355,1126.65964556,520.825796129,2406.08595632,0.0119838987859,0.0105094410728,0.0138992959128,162.3499555,161.42365325,162.354037158,475.963612213,0.0123118171785
2477635,566.846428078,218.972155945,1945.69496538,0.0121709363194,0.0103326370562,0.0143941911491,176.307558157,176.225833714,177.554087574,221.850917228,0.0113982589836
2477748,1164.85630865,481.131183742,2412.43322342,0.00760190083343,0.00651434627651,0.0089075380926,183.738634782,181.936021078,184.845000008,509.206933826,0.0078696099109
2477965,1514.09675349,671.745665664,2662.77987007,0.0148722796267,0.0129178751506,0.0173477293097,144.773090661,143.724373584,145.435827385,657.651245941,0.0145033177326
2478255,1519.99980493,656.661921315,2654.91717209,0.00987800522018,0.00843903153183,0.011573454582,168.689794821,171.834965031,172.58783845,594.606193259,0.00949923956486
2478562,1797.89908982,1132.97648643,2331.38571388,0.00542328897289,0.00466999262659,0.00632902696775,194.227881498,194.620546698,194.944544604,1459.59700726,0.00569930895631
2479049,244.827974674,125.818372108,779.242476641,0.0103280121129,0.00872834020605,0.0125201571699,172.822951521,172.509847423,173.397201023,121.202213868,0.011605470367
2479074,1872.06083354,1044.21938941,2827.64547887,0.0094675643834,0.00831199046346,0.0109391672502,190.694831245,190.326525334,191.36936486,1218.94920841,0.00922551317374
2479332,1258.87012111,542.183816981,2553.79762133,0.00878968555898,0.00741880215298,0.0104059181337,181.222188266,179.655069334,181.757718377,632.301408642,0.00844045242738
2479472,1265.86982028,503.80020462,2519.92398666,0.0034174585118,0.00267919340632,0.00430526037508,193.525074611,193.07400482,194.525522681,463.508772537,0.00347584795321
2480467,1616.7729654,765.9958315,2698.66611301,0.0130488044957,0.0109199643712,0.0158270384185,104.000107507,104.995197318,106.413612547,826.675334553,0.0120293279421
2480595,2392.71212957,1544.1190549,3026.9119192,0.0109291717298,0.00881133113746,0.013738258599,103.788865224,102.215635697,104.308292509,3076.66515819,0.00879450779237
2480763,1355.23224881,554.659686846,2642.39985585,0.00895132136699,0.00727006896045,0.0110885525432,151.837035462,151.95360669,153.79509799,698.952171941,0.00786593653808
2481079,177.808368301,91.5395898719,585.430443093,0.0106838351146,0.00876554952778,0.0131609837075,159.017811183,160.04196188,160.650508976,103.161646577,0.0110437547474
2481227,2089.06665443,1246.3656093,2926.36319359,0.00930253084241,0.00788429137227,0.0111103849764,174.091212239,173.352177672,174.510519493,1760.48504048,0.00880112949372
2481334,1991.51680579,1102.29994437,2893.29120468,0.00287801219365,0.00235900311856,0.00352514286458,245.224793108,245.432599128,245.825954625,1676.47884354,0.0025846702259
2481448,1921.44015169,1099.98543219,2842.76554326,0.00755300991457,0.00643692521416,0.00894415138259,166.931566057,165.935501248,167.664204245,1519.4598426,0.00723915378587
2482104,1483.70976125,670.132748943,2617.90464837,0.00795903505429,0.00690261327781,0.0091804400928,199.106832157,200.071152438,202.216098459,592.381891634,0.00833442057936
2482296,1620.57175399,812.450266949,2686.71697511,0.00838398658928,0.00718973144656,0.00978457699031,191.338375747,192.175316393,192.668284516,885.865853307,0.00826866910868
2483363,1564.52493286,761.042545273,2680.77096234,0.0081858669216,0.00714433428322,0.0095343380241,193.915141861,194.721501383,195.511211974,620.408588661,0.00838741387371
2483438,1426.89401003,589.023083229,2648.89441331,0.0119944221965,0.0104708910199,0.0139320629408,184.706141798,184.281215699,185.377628434,515.411945353,0.012326277132
2483643,603.575227002,244.960434564,2026.03293814,0.012573775052,0.010776081325,0.014855497442,158.332966408,159.757302541,161.627628906,259.483341724,0.0126383475089
2483775,734.841429252,240.153878204,2100.79967541,0.00584505811829,0.00461815945682,0.00783015451433,179.482199266,177.547884899,180.390789239,299.957142996,0.00571533921182
2483789,338.382770377,154.180946727,1468.91202648,0.0176479731633,0.0154476206955,0.0202728721281,165.945600991,164.176167878,166.463755477,122.302062368,0.0201658515725
2483888,1836.93109859,887.861486973,2858.54944016,0.00866691481152,0.00689838194411,0.0108224810996,155.947416661,157.0775171,157.264949196,958.187734041,0.00853431850953
2484122,2.83264116756,2.21542977999,4.19705495974,0.148761887879,0.123670174749,0.178833072108,39.6578253358,39.0634703918,41.3468252844,2.32102580343,0.142639915214
2484587,582.892503512,230.892415513,1799.7414925,0.00993926036089,0.00818179503397,0.0120787078292,151.803689837,150.432311229,153.638465164,244.898718784,0.00957523548273
2484608,1073.70873719,405.074226268,2396.99841777,0.00499178933296,0.00396547816671,0.00650597873544,183.516086283,182.644187309,185.386641521,422.059298413,0.00467508528911
2484948,1603.89281184,713.876279798,2700.67657596,0.00806844336753,0.00658599111568,0.00997196028663,167.046387248,166.303060198,167.271215674,738.377644982,0.00747787267961
2485015,678.374360035,255.733116509,2070.71571826,0.00788892631095,0.00654755429449,0.00959008098787,169.520286223,169.286504964,170.587757016,291.442552841,0.00791598724568
2485486,576.464997511,206.356065825,1835.82476372,0.00955575178216,0.00769082167231,0.011933818629,166.768026496,168.763992857,170.013976659,290.315813641,0.00835196402396
2485578,914.760766523,373.443352501,1863.89606593,0.00898665439367,0.00752738182715,0.010958372761,174.535613745,170.592609277,178.165508381,492.671470053,0.00790175143797
2485691,19.3557343001,12.8553439226,31.5962820505,0.0697425164039,0.062680112268,0.0789333444029,108.610129639,108.477510061,110.44425693,16.3566950218,0.0741123269502
2485925,146.741950858,67.0133999172,514.968653134,0.0142682883465,0.0114509543746,0.0183975504064,146.956429288,146.675247687,147.621977376,106.002450836,0.0133687577397
2487211,388.88757061,127.344931155,1394.78152437,0.0226100611932,0.0180078102528,0.0287129818069,56.6337225875,56.708801416,59.6494284589,154.077381168,0.0254381475625
2488726,1852.45379605,1003.29925693,2782.70784942,0.00745331281082,0.00629208433345,0.00886006940547,173.995244691,173.676277769,174.473392874,1800.87583708,0.00675438029212
2488800,927.767306626,289.204574146,2320.08656555,0.00822775731262,0.00654979976901,0.0103655180498,145.412702322,148.45352001,149.792880389,311.063263081,0.00839360976545
2489048,617.167309285,242.830649555,1987.2962291,0.00918023774661,0.00775197063179,0.0109866469937,191.507935619,188.850160603,192.799065225,247.427115379,0.00907277565449
