DBID,tau,taulb,tauub,sigma,sigmalb,sigmaub
147308,0.0,0.0,0.0,0.0,0.0,0.0
147934,0.0,0.0,0.0,0.0,0.0,0.0
149455,0.0,0.0,0.0,0.0,0.0,0.0
149625,0.0,0.0,0.0,0.0,0.0,0.0
150008,0.0,0.0,0.0,0.0,0.0,0.0
150691,0.0,0.0,0.0,0.0,0.0,0.0
150782,0.0,0.0,0.0,0.0,0.0,0.0
151178,0.0,0.0,0.0,0.0,0.0,0.0
151329,0.0,0.0,0.0,0.0,0.0,0.0
151452,0.0,0.0,0.0,0.0,0.0,0.0
151724,0.0,0.0,0.0,0.0,0.0,0.0
151779,0.0,0.0,0.0,0.0,0.0,0.0
152007,0.0,0.0,0.0,0.0,0.0,0.0
152804,0.0,0.0,0.0,0.0,0.0,0.0
152872,0.0,0.0,0.0,0.0,0.0,0.0
